Gene	iKOX-5_plus_ATc1											
TGGT1_211670	741											
TGGT1_211675	0											
TGGT1_211680	8430											
TGGT1_211690	444											
TGGT1_211695	50											
TGGT1_211700	784											
TGGT1_211710	277											
TGGT1_211720	4857											
TGGT1_211730	991											
TGGT1_211850	288											
TGGT1_211860	801											
TGGT1_211870	196											
TGGT1_211880	157											
TGGT1_211890	896											
TGGT1_211910	0											
TGGT1_212030	0											
TGGT1_212045	2											
TGGT1_212060	0											
TGGT1_212075	0											
TGGT1_212090	293											
TGGT1_212100	326											
TGGT1_212110	124											
TGGT1_212130	476											
TGGT1_212140	798											
TGGT1_212145	19											
TGGT1_212150	259											
TGGT1_212160	64											
TGGT1_212170	420											
TGGT1_212180	17											
TGGT1_212190	614											
TGGT1_212200	297											
TGGT1_212210	514											
TGGT1_212220	1811											
TGGT1_212240	0											
TGGT1_212250	746											
TGGT1_212260	722											
TGGT1_212270	4147											
TGGT1_212275	43											
TGGT1_212280	26											
TGGT1_212290	8298											
TGGT1_212300	2722											
TGGT1_212310	767											
TGGT1_212410	52											
TGGT1_212420	34											
TGGT1_212710	1											
TGGT1_212725	150											
TGGT1_212735	470											
TGGT1_212740	0											
TGGT1_212760	41											
TGGT1_212770	949											
TGGT1_212775	1											
TGGT1_212780	332											
TGGT1_212800	191											
TGGT1_212810	406											
TGGT1_212820	288											
TGGT1_212840	355											
TGGT1_212850	286											
TGGT1_212860	813											
TGGT1_212880	1121											
TGGT1_212900	707											
TGGT1_212910	1											
TGGT1_212920	353											
TGGT1_212930	255											
TGGT1_212937	0											
TGGT1_212940	79											
TGGT1_212950	249											
TGGT1_212955	119											
TGGT1_212960A	0											
TGGT1_212960B	150											
TGGT1_212970	156											
TGGT1_212980	1600											
TGGT1_212990	319											
TGGT1_213000	183											
TGGT1_213010	368											
TGGT1_213020	277											
TGGT1_213030	291											
TGGT1_213040	564											
TGGT1_213050	3445											
TGGT1_213060	353											
TGGT1_213065	5											
TGGT1_213067	470											
TGGT1_213069	24											
TGGT1_213072	1207											
TGGT1_213100	81											
TGGT1_213115	62											
TGGT1_213240	246											
TGGT1_213255	745											
TGGT1_213280	3596											
TGGT1_213290	2											
TGGT1_213300	235											
TGGT1_213310	208											
TGGT1_213325	556											
TGGT1_213340	15											
TGGT1_213350	7374											
TGGT1_213360	2											
TGGT1_213370	506											
TGGT1_213380	12											
TGGT1_213388	192											
TGGT1_213392	1304											
TGGT1_213400	255											
TGGT1_213410	219											
TGGT1_213415	79											
TGGT1_213420	230											
TGGT1_213430	1											
TGGT1_213445	2706											
TGGT1_213460	431											
TGGT1_213480	384											
TGGT1_213490	163											
TGGT1_213520	485											
TGGT1_213530	1											
TGGT1_213550	502											
TGGT1_213560	1											
TGGT1_213570	621											
TGGT1_213580	9643											
TGGT1_213590	235											
TGGT1_213600	171											
TGGT1_213610	3679											
TGGT1_213620	420											
TGGT1_213635	1034											
TGGT1_213650	221											
TGGT1_213660	3650											
TGGT1_213670	532											
TGGT1_213680	223											
TGGT1_213690	145											
TGGT1_213700	6											
TGGT1_213710	470											
TGGT1_213720	99											
TGGT1_213730	437											
TGGT1_213740	321											
TGGT1_213746	168											
TGGT1_213748	135											
TGGT1_213752	125											
TGGT1_213760	3											
TGGT1_213770	455											
TGGT1_213780	491											
TGGT1_213790	226											
TGGT1_213800	226											
TGGT1_213810	84											
TGGT1_213820	330											
TGGT1_213830	296											
TGGT1_213840	2											
TGGT1_213850	19											
TGGT1_213860	3											
TGGT1_213870	473											
TGGT1_213880	24											
TGGT1_213885	52											
TGGT1_213890	201											
TGGT1_213900	1530											
TGGT1_213910	131											
